"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774056658714640492","Sun Mar 31 07:21:55 +0000 2024","0","@worksfess Pantesan gen z kerja 3 bulan udah minta resign pake lanyard aja udah disamain kayak anjing peliharaan","1774336305180315672","","worksfess","in","","0","0","0","https://twitter.com/odankerwin/status/1774336305180315672","1748678391816151040","odankerwin"
"1774332304028221700","Sun Mar 31 07:06:01 +0000 2024","0","Gen Z dan Transformasi Budaya Perusahaan: Membawa Perubahan ke Tempat Kerja https://t.co/5X3iFWCHsm","1774332304028221700","","","in","Indonesia","0","0","0","https://twitter.com/kompasiana/status/1774332304028221700","23786106","kompasiana"
"1774278187520065905","Sun Mar 31 03:30:59 +0000 2024","1","aduh gua eneg bgttt dengerin curhatan sodara gen z yg baru lulus trus kerja bentar resign karena capek pulang ke jogja disuruh berbaur sama orang sana tp gamauuu dan ngerasa di press terus AAKKK itu duit kuliah lu tante tante lu yg bayarin cokkkk ","1774278187520065905","","","in","","0","2","0","https://twitter.com/bodyrestt/status/1774278187520065905","1073962871447445505","bodyrestt"
"1774154835014938861","Sun Mar 31 01:43:02 +0000 2024","0","@convomfs dikit gen z fokus kerja aja nder","1774251021830942911","","convomfs","in","","0","0","0","https://twitter.com/abditorrry/status/1774251021830942911","1131527443490074624","abditorrry"
"1774229002003325232","Sun Mar 31 00:15:32 +0000 2024","1","dulu tahun 2015 camtu kot member sampai kene kerja grab 2 tahun nak tunggu HO placement sebab takde kekosongan. Tapi mungkin sebab zaman pun dah berubah kitorang Gen Z lahir 90an siapa jadi doktor kira hero sekampung anak harapan dunia akhirat.","1774229002003325232","","","in","Kuantan - Shah Alam","0","1","0","https://twitter.com/skyofsolitude/status/1774229002003325232","1522162265679855616","skyofsolitude"
"1774163033818075600","Sat Mar 30 19:53:24 +0000 2024","0","menurut gw ini series ok bgt deh buat orang orang yang pengen engeh ambience awal masuk kerja insightful dan gue bisa relatable. esp buat gen z ","1774163033818075600","","","in","🍉","0","1","0","https://twitter.com/echlatales/status/1774163033818075600","1652022078999244800","echlatales"
"1774017182898573706","Sat Mar 30 15:11:56 +0000 2024","2","@worksfess Samaaa udah up skill ngikutin gaya kerja gen z dll tetep berakhir di interview","1774092201259417611","","worksfess","in","wkwkland","0","0","0","https://twitter.com/Lida_Lidud/status/1774092201259417611","302957211","Lida_Lidud"
"1773749663889576289","Sat Mar 30 13:52:39 +0000 2024","0","@s_yuni_r @119kty @collegemenfess Tapi yg seumuran dg gen Z juga banyak kok Kak. Apalagi yg karyawan2 lulusan SMA SMK dan baru bisa kuliah setelah kerja. Jadi bisa aja ada mahasiswanya yg memang tertarik sambil magang ga menutup kemungkinan. Cuma untuk keterlibatan hal ini belum tau valid tidaknya.","1774072247302701128","","s_yuni_r","in","","0","2","0","https://twitter.com/_M_a_n_i_s/status/1774072247302701128","1740297861198462976","_M_a_n_i_s"
"1774014437344890954","Sat Mar 30 10:02:56 +0000 2024","0","Gen z pintar bicara dan banyak omong nya giliran kerja tunjuk-tunjukan. Begitulah pendapat pekerja Konoha.","1774014437344890954","","","in","","0","0","0","https://twitter.com/JaxsonDen/status/1774014437344890954","765608911","JaxsonDen"
"1773969522778861890","Sat Mar 30 07:04:27 +0000 2024","0","[cm] guys ada kah yang mau bantu isi kuesioner penelitian sender? kriteria yang dibutuhin gen z yang kerja secara wfh atau hybrid di jakarta.. tinggalin jejak nanti sender drop linknya di dm. Ada hadiah saldo ewallet juga buat 10 orang yang beruntung TIA ","1773969522778861890","","","in","","0","1","0","https://twitter.com/collegemenfess/status/1773969522778861890","1046084008742801408","collegemenfess"
"1773918432976859577","Sat Mar 30 03:41:26 +0000 2024","5","Im so sorry... adakah sebab Gen Z dah start kerja? and they the one who bising abt this issue??? kajshdkhsakdj likkeeee.... Malaysia ni dah cukup banyak cutiii... let's fight for 4 working days nextttt laaa dari dok bising cutiii","1773918432976859577","","","in","","0","0","0","https://twitter.com/TheWanAndOnlyyy/status/1773918432976859577","2210151354","TheWanAndOnlyyy"
"1773914525114454032","Sat Mar 30 03:25:55 +0000 2024","6","Genuinely asking work! Kenapa akhir-akhir ini tiap ada hal negatif di dunia kerja yang selalu disalahkan pasti Gen Z ? Aku masuk gen Z lama-lama gedek liat ginian. https://t.co/cLl4d0OGnK","1773914525114454032","https://pbs.twimg.com/media/GJ4128iawAAV6A8.jpg","","in","MENFESS BOT — ❌POST MANUAL❌","2","5","0","https://twitter.com/worksfess/status/1773914525114454032","1244597361826885636","worksfess"
"1773860902263296245","Fri Mar 29 23:52:50 +0000 2024","0","susahnya jadi gen Z: banyak quote bilang 'kita tuh harus hidup dihari ini menikmati hari ini jangan mikirin sesuatu yang belum terjadi' tapi setiap kali interview kerja di tanyain 'kamu melihat diri kamu 5 tahun kedepan gimana?'","1773860902263296245","","","in","Surabaya","0","0","0","https://twitter.com/afafajar7/status/1773860902263296245","2877427249","afafajar7"
"1773436988047397257","Fri Mar 29 22:20:00 +0000 2024","1","@PartBurungGalak Kalo partai anak muda harus calegnya kemarin paling berani speak up dan kasih solusi soal masalah2 gen z kaya isu mental health lap. kerja isu mahalnya hunian. Pantesan suara 2.8 yg diperjuangin cmn pokoknya sm jokowi aja gitu ?","1773837537913798768","","PartBurungGalak","in","Bali","0","1","0","https://twitter.com/yogatanaya/status/1773837537913798768","1464899627778383878","yogatanaya"
"1773721391881437308","Fri Mar 29 14:38:28 +0000 2024","0","Jeno gueee bgt as gen z yang capek kerja terus diomongin atasan bawaannya pengin resign https://t.co/PanklJW66f","1773721391881437308","https://pbs.twimg.com/media/GJ2GNLqaQAAR9XE.jpg","","in","","0","0","0","https://twitter.com/tobewithdream/status/1773721391881437308","1134220860045139968","tobewithdream"
