"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785533075151269904","Wed May 01 14:15:21 +0000 2024","0","@DokterTifa btw petani di indonesia semakin sedikit gen z maunya kerja kantoran ga mau bertani. apakah dokter tifa punya solusi supaya generasi muda / gen z mau bertani ?","1785674372273025470","","DokterTifa","in","tegal","0","0","0","https://twitter.com/SatriyaAdhiWija/status/1785674372273025470","432081682","SatriyaAdhiWija"
"1784863128246731015","Mon Apr 29 09:38:59 +0000 2024","0","@worksfess Engga lah atasan gua malah mohon ke beberapa Gen Z yg mau resign supaya ga jadi resign malah kesel blak2an sama generasi milenial yg kerja nya leha2 ga ada inisiatif wkwk","1784880049134419990","","worksfess","in","","0","1","0","https://twitter.com/matchamu_14/status/1784880049134419990","1337343182858637313","matchamu_14"
"1784686048171442447","Mon Apr 29 02:31:14 +0000 2024","2","@Bambangmulyonoo ya buat dada tambah nyesek para generasi muda &amp; gen- z mengartikan KKN = KULIAH KERJA NYATA . ternyata virus planga - plongo lebih dasyat di banding virus covid 19.","1784772401269793272","","Bambangmulyonoo","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://twitter.com/onorus7940/status/1784772401269793272","1697498119746072576","onorus7940"
"1784245039851516052","Sun Apr 28 05:46:42 +0000 2024","1","@phimpamin @Jumianto_RK Kamu pikir peserta pemilihan 2024 terbanyak itu generasi babyboomer? Mayoritas pemilih sekarang itu gen milenial dan gen Z yg usia muda masih pada kuliah dan kerja freh graduate. 02 terpilih ya berarti banyak gen Z mahasiswa itu banyak yg pilih 02 dan sekarang rasakan ","1784459205405204657","","phimpamin","in","","0","1","0","https://twitter.com/kyp95sby/status/1784459205405204657","310763568","kyp95sby"
"1783500697138511908","Thu Apr 25 14:18:12 +0000 2024","0","Gue paling muak sama content creator yang ngomong kayak gini gue pernah interview gen z gue pernah kerja bareng ama gen z. Menurut gue itu norak banget karena kalian menganggap bahwa gen z generasi manja dan nggk tau cara buat belajar dan berusaha","1783500764385833433","","rhymandpoem","in","","0","0","0","https://twitter.com/rhymandpoem/status/1783500764385833433","1544536987167649792","rhymandpoem"
"1783495547992858811","Thu Apr 25 13:57:29 +0000 2024","0","[EVENT] Salah satu perubahan signifikan di dalam lapangan kerja adalah bertambahnya generasi muda bertalenta: Gen Z IB Talk HR Guide: the Light and Dark Sides of the Zoomer Generation Let s Blend In Jumat 26 April 24 15.30 17.00 WIB Online Daftar https://t.co/1WclyZiCeH https://t.co/jA7GKxEkRf","1783495547992858811","https://pbs.twimg.com/media/GMA_unMbIAAHPFI.jpg","","in","GKU Timur ITB, Lantai Dasar","0","0","0","https://twitter.com/ITBCareerCenter/status/1783495547992858811","334542843","ITBCareerCenter"
"1782920174565577203","Tue Apr 23 23:51:09 +0000 2024","1","Menantang Stigma: Memahami Karakteristik Generasi Z di Tempat Kerja https://t.co/IBXYmoyvST","1782920174565577203","","","in","Indonesia","0","0","0","https://twitter.com/kompasiana/status/1782920174565577203","23786106","kompasiana"
"1781252396112638436","Fri Apr 19 23:51:36 +0000 2024","0","@Mumettipis @kkvncxx @cinemuach @ozarangkuti lah gw gak kesinggung either am cowok gendut yg di video cuman gw kepo aja dari mana lu dapet kepedean bgt sampe bisa jelek in satu generasi wkwkw tp gw yakin lu bahkan gak kerja di tempat banyak gen z yg ngisi i can see from your low definition profile picture","1781470737360142568","","Mumettipis","in","Bandung","0","1","0","https://twitter.com/bornfreeonemwah/status/1781470737360142568","890696490502438912","bornfreeonemwah"
"1781252396112638436","Fri Apr 19 19:19:26 +0000 2024","24","@Mumettipis @cinemuach @ozarangkuti bawa bawa generasi counter lu itu doang padahal generasi lo juga gajauh beda tuh sm gen z malah yg sering cranky di kantor banyakan millenials pernah kerja ga? ","1781402243188805857","","Mumettipis","in","","0","1","0","https://twitter.com/kkvncxx/status/1781402243188805857","1413158933292748805","kkvncxx"
"1780758288554205211","Thu Apr 18 00:40:35 +0000 2024","15","Menteri ATR/Kepala BPN Agus Harimurti Yudhoyono (TN 5) beri pesan kepada Gen-Z dan generasi milenial soal etos kerja. Generasi milenial dan Z mari kita bekerja sungguh-sungguh dan tidak setengah-setengah kata AHY dalam pidato halalbihalal di kantornya. https://t.co/dZpwa9YcWl https://t.co/fBwUSUJHTn","1780758288554205211","https://pbs.twimg.com/media/GLaGOLuasAA_7m0.png","","in","Magelang, Jawa Tengah","0","1","0","https://twitter.com/SMATN/status/1780758288554205211","169086797","SMATN"
"1780472202145804304","Wed Apr 17 05:43:47 +0000 2024","0","gen z lebih pandai menyembunyikan segala kekhawatiran dan kelelahan mereka dalam bekerja keras daripada generasi sebelumnya yang kerja tetapi sambil mengeluh","1780472202145804304","","","in","","0","0","0","https://twitter.com/dimsum2113/status/1780472202145804304","870426484359389185","dimsum2113"
"1780371300034457752","Tue Apr 16 23:02:50 +0000 2024","0","Social capital merupakan elemen yang penting dalam mendorong work readiness (kesiapan kerja) di kalangan Generasi Z Badan Pusat Statistika mendefinisikan Generasi Z sebagai kelompok baru yang memasuki angkatan kerja dengan klasifikasi rentang tahun https://t.co/F4FUP90L0k","1780371300034457752","","","in","Indonesia","0","0","0","https://twitter.com/retizen_id/status/1780371300034457752","1398261977839898624","retizen_id"
"1780123178058272835","Tue Apr 16 06:36:53 +0000 2024","1","Beri Pesan Etos Kerja Kepada Generasi Milenial dan Z Menteri AHY: Bekerja Sungguh-sungguh Tidak Setengah-setengah https://t.co/myLM6IyFA1","1780123178058272835","","","in","","0","0","0","https://twitter.com/TajukPolitik/status/1780123178058272835","729309555486642176","TajukPolitik"
"1779825409766670726","Mon Apr 15 13:25:40 +0000 2024","1","@worksfess Padahal disetiap tempat kerja ada yg namanyq cuti ya gunakan itu sebagai Work Life balance. Anak saya generasi Z mereka fine saja dengan etos Work hard party hard mwreka masih menepunuai normal life menonton konser liburan dll. Selama kamu mempunyai penghasilan WLB is easy","1779863665841160518","","worksfess","in","","1","0","0","https://twitter.com/MohAgus2008/status/1779863665841160518","1461248331536080897","MohAgus2008"
"1779719441355551111","Mon Apr 15 03:56:10 +0000 2024","0","4. Jam Kerja Fleksibel Dilansir dari The Muse aturan tidak tertulis yangs elanjutnya adalah terkait jam kerja yang felksibel. Untuk generasi Z jam kerja yang fleksibel merupakan salah satu benefit kerja yang banyak dicari. T","1779720343382614203","","HrKelas","in","","0","1","0","https://twitter.com/HrKelas/status/1779720343382614203","1565947782241759232","HrKelas"
"1777720628797444260","Tue Apr 09 15:30:01 +0000 2024","1","Fenomena sosial jelang lebaran yang belakangan ini muncul. Milenial dan Gen Z yang ga suka dicecar dengan berbagai pertanyaan kapan -&gt; kapan nikah kapan lulus kapan dapat kerja dsb. Bisa jadi karena generasi tua nganggep pertanyaan2 tsb adalah sebagai bentuk kepedulian .","1777720628797444260","","","in","","0","1","0","https://twitter.com/IlhamFrendy/status/1777720628797444260","1103831692622540800","IlhamFrendy"
"1777267594556268682","Mon Apr 08 20:00:18 +0000 2024","0","@worksfess berarti masalahnya bukan di generasi tapi di orangnya. orang ngeselin dan susah diajak kerja sama atau GAK BISA KERJA pasti ada di setiap generasi. kebetulan gen z kerja pas penggunaan medsos lg tinggi. jd gampang curhat dan ketemulah kasus serupa","1777426259989143755","","worksfess","in","","0","0","0","https://twitter.com/idoymaridoy/status/1777426259989143755","1311990907353219072","idoymaridoy"
