ID,text
1,@DokterTifa btw petani di indonesia semakin sedikit gen z maunya kerja kantoran ga mau bertani. apakah dokter tifa punya solusi supaya generasi muda / gen z mau bertani ?
2,@worksfess Engga lah atasan gua malah mohon ke beberapa Gen Z yg mau resign supaya ga jadi resign malah kesel blak2an sama generasi milenial yg kerja nya leha2 ga ada inisiatif wkwk
3,@Bambangmulyonoo ya buat dada tambah nyesek para generasi muda &amp; gen- z mengartikan KKN = KULIAH KERJA NYATA . ternyata virus planga - plongo lebih dasyat di banding virus covid 19.
4,@phimpamin @Jumianto_RK Kamu pikir peserta pemilihan 2024 terbanyak itu generasi babyboomer? Mayoritas pemilih sekarang itu gen milenial dan gen Z yg usia muda masih pada kuliah dan kerja freh graduate. 02 terpilih ya berarti banyak gen Z mahasiswa itu banyak yg pilih 02 dan sekarang rasakan 
5,Gue paling muak sama content creator yang ngomong kayak gini gue pernah interview gen z gue pernah kerja bareng ama gen z. Menurut gue itu norak banget karena kalian menganggap bahwa gen z generasi manja dan nggk tau cara buat belajar dan berusaha
6,[EVENT] Salah satu perubahan signifikan di dalam lapangan kerja adalah bertambahnya generasi muda bertalenta: Gen Z IB Talk HR Guide: the Light and Dark Sides of the Zoomer Generation Let s Blend In Jumat 26 April 24 15.30 17.00 WIB Online Daftar https://t.co/1WclyZiCeH https://t.co/jA7GKxEkRf
7,Menantang Stigma: Memahami Karakteristik Generasi Z di Tempat Kerja https://t.co/IBXYmoyvST
8,@Mumettipis @kkvncxx @cinemuach @ozarangkuti lah gw gak kesinggung either am cowok gendut yg di video cuman gw kepo aja dari mana lu dapet kepedean bgt sampe bisa jelek in satu generasi wkwkw tp gw yakin lu bahkan gak kerja di tempat banyak gen z yg ngisi i can see from your low definition profile picture
9,@Mumettipis @cinemuach @ozarangkuti bawa bawa generasi counter lu itu doang padahal generasi lo juga gajauh beda tuh sm gen z malah yg sering cranky di kantor banyakan millenials pernah kerja ga? 
10,Menteri ATR/Kepala BPN Agus Harimurti Yudhoyono (TN 5) beri pesan kepada Gen-Z dan generasi milenial soal etos kerja. Generasi milenial dan Z mari kita bekerja sungguh-sungguh dan tidak setengah-setengah kata AHY dalam pidato halalbihalal di kantornya. https://t.co/dZpwa9YcWl https://t.co/fBwUSUJHTn
